municipality,oevk,no_votes18,opp_18,fidesz_18,jobbik18,m_type,no_votes22,fidesz22,opp_alliance22,mi_hazank22,opp_affiliation22,opp_won22,opp22is_jobbik18,mihazank22is_jobbik18,jobbik18on_mihazank22list,jobbik18on_opp22list,jobbik18on_preelection
Alsórajk,Zala megye 2. számú egyéni választókerület,162,82,78,68,Falu,149,100,43,3,MOMENTUM,0,0,0,0,0,0
Alsóregmec,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,114,54,58,34,Falu,112,69,32,7,JOBBIK,0,0,0,0,0,0
Alsószenterzsébet,Zala megye 1. számú egyéni választókerület,47,9,38,6,Falu,40,32,6,2,DK,0,0,0,0,1,1
Alsószentiván,Fejér megye 5. számú egyéni választókerület,295,107,177,73,Falu,296,203,68,17,DK,0,0,0,1,0,0
Alsószentmárton,Baranya megye 4. számú egyéni választókerület,489,66,385,3,Falu,518,489,27,0,DK,0,0,0,0,0,0
Alsószölnök,Vas megye 3. számú egyéni választókerület,195,75,118,67,Falu,203,144,48,8,LMP,0,0,0,0,0,1
Alsószuha,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,265,103,160,63,Falu,239,135,24,4,MSZP,0,0,0,0,0,1
Alsótelekes,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,69,35,33,23,Falu,74,48,17,2,MSZP,0,0,0,0,0,1
Alsótold,Nógrád megye 1. számú egyéni választókerület,166,74,84,36,Falu,147,84,54,5,DK,0,0,0,0,1,0
Alsóújlak,Vas megye 3. számú egyéni választókerület,335,92,239,71,Falu,321,254,55,9,LMP,0,0,0,0,0,1
Alsóvadász,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,627,221,352,153,Falu,575,421,91,47,JOBBIK,0,0,0,0,0,0
Alsózsolca,Borsod-Abaúj-Zemplén megye 1. számú egyéni választókerület,2829,1318,1433,999,Kisváros,2714,1659,744,228,JOBBIK,0,0,0,0,1,0
Ambrózfalva,Csongrád megye 4. számú egyéni választókerület,256,140,108,107,Falu,225,118,89,16,ÚVNP,0,0,0,0,0,0
Anarcs,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,937,332,589,268,Falu,927,584,229,89,JOBBIK,0,0,0,0,1,1
Andocs,Somogy megye 4. számú egyéni választókerület,538,165,364,75,Falu,529,383,119,0,JOBBIK,0,1,0,0,1,1
Andornaktálya,Heves megye 1. számú egyéni választókerület,1632,806,728,667,Falu,1595,813,569,122,DK,0,0,0,0,0,0
Andrásfa,Vas megye 3. számú egyéni választókerület,125,32,92,26,Falu,121,95,14,8,LMP,0,0,0,0,0,1
Annavölgy,Komárom-Esztergom megye 2. számú egyéni választókerület,436,253,161,152,Falu,436,210,183,17,JOBBIK,0,1,0,0,1,1
Apácatorna,Veszprém megye 4. számú egyéni választókerület,81,21,59,13,Falu,85,61,16,8,MSZP,0,0,0,0,0,0
Apagy,Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,1120,461,630,361,Falu,1054,660,273,94,JOBBIK,0,0,1,1,0,0
Apaj,Pest megye 11. számú egyéni választókerület,535,257,267,162,Falu,551,320,172,32,DK,0,0,0,0,0,0
Aparhant,Tolna megye 2. számú egyéni választókerület,592,156,428,105,Falu,604,438,122,29,DK,0,0,0,0,0,0
Apátfalva,Csongrád megye 4. számú egyéni választókerület,1549,470,1055,368,Falu,1423,906,401,93,ÚVNP,0,0,0,0,0,0
Apátistvánfalva,Vas megye 3. számú egyéni választókerület,233,62,169,57,Falu,243,188,45,9,LMP,0,0,0,0,0,1
Apátvarasd,Baranya megye 3. számú egyéni választókerület,76,32,39,17,Falu,66,41,20,3,JOBBIK,0,0,0,0,0,0
Apc,Heves megye 3. számú egyéni választókerület,1268,659,577,423,Falu,1196,678,397,105,MSZP,0,0,0,0,0,0
Áporka,Pest megye 11. számú egyéni választókerület,635,308,316,184,Falu,642,376,187,45,DK,0,0,0,0,0,0
Apostag,Bács-Kiskun megye 3. számú egyéni választókerület,1031,512,501,376,Falu,1053,591,310,118,DK,0,0,0,0,0,0
Aranyosapáti,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,929,203,714,155,Falu,964,817,131,13,DK,0,0,0,0,0,0
Aranyosgadány,Baranya megye 4. számú egyéni választókerület,173,63,86,24,Falu,172,105,23,21,DK,0,0,0,0,0,0
Arka,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,51,18,33,13,Falu,36,16,15,5,JOBBIK,0,0,0,0,0,0
Arló,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,1046,429,587,341,Falu,1089,785,186,60,MSZP,0,0,0,0,0,1
Arnót,Borsod-Abaúj-Zemplén megye 1. számú egyéni választókerület,1409,653,695,480,Falu,1368,786,418,83,JOBBIK,0,0,0,0,1,0
Ároktő,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,505,133,360,75,Falu,509,424,46,28,MSZP,0,0,0,0,0,0
Árpádhalom,Csongrád megye 3. számú egyéni választókerület,267,115,147,93,Falu,255,157,62,19,JOBBIK,0,0,0,0,0,0
Árpás,Győr-Moson-Sopron megye 3. számú egyéni választókerület,161,58,103,38,Falu,161,120,33,5,MSZP,0,0,0,0,1,1
Ártánd,Hajdú-Bihar megye 4. számú egyéni választókerület,277,103,166,70,Falu,300,200,59,25,MOMENTUM,0,0,0,0,0,0
Ásotthalom,Csongrád megye 2. számú egyéni választókerület,1976,916,1020,579,Falu,1892,687,341,828,MOMENTUM,0,0,0,0,0,0
Ásványráró,Győr-Moson-Sopron megye 5. számú egyéni választókerület,1113,372,714,247,Falu,1163,779,281,63,JOBBIK,0,0,0,0,0,0
Aszaló,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,767,271,484,213,Falu,788,598,167,0,MSZP,0,0,0,0,0,0
Ászár,Komárom-Esztergom megye 3. számú egyéni választókerület,927,386,523,301,Falu,946,514,320,63,MSZP,0,0,0,0,0,0
Aszód,Pest megye 6. számú egyéni választókerület,3395,1699,1617,697,Kisváros,3484,1771,1291,217,LMP,0,0,0,0,0,0
Aszófő,Veszprém megye 2. számú egyéni választókerület,293,129,161,95,Falu,304,170,98,25,DK,0,0,0,0,0,0
Áta,Baranya megye 4. számú egyéni választókerület,106,45,50,24,Falu,88,55,17,11,DK,0,0,0,0,0,0
Átány,Heves megye 1. számú egyéni választókerület,525,144,374,103,Falu,570,496,45,25,DK,0,0,0,0,0,0
Atkár,Heves megye 3. számú egyéni választókerület,1045,580,446,456,Falu,1010,559,341,81,MSZP,0,0,0,0,0,0
Attala,Tolna megye 2. számú egyéni választókerület,416,147,259,116,Falu,391,266,80,35,DK,0,0,0,0,0,0
Babarc,Baranya megye 3. számú egyéni választókerület,364,124,229,87,Falu,348,243,71,25,JOBBIK,0,0,0,0,0,0
Babarcszőlős,Baranya megye 4. számú egyéni választókerület,45,8,31,3,Falu,55,40,9,4,DK,0,0,0,0,0,0
Babócsa,Somogy megye 2. számú egyéni választókerület,648,299,340,250,Falu,688,403,262,21,JOBBIK,0,1,0,0,1,1
Bábolna,Komárom-Esztergom megye 3. számú egyéni választókerület,1951,1081,838,638,Falu,1883,888,808,96,MSZP,0,0,0,0,0,0
Bábonymegyer,Somogy megye 4. számú egyéni választókerület,337,159,158,82,Falu,326,230,86,0,JOBBIK,0,1,0,0,1,1
Babosdöbréte,Zala megye 1. számú egyéni választókerület,287,78,203,44,Falu,277,199,46,19,DK,0,0,0,0,1,1
Babót,Győr-Moson-Sopron megye 3. számú egyéni választókerület,675,261,404,193,Falu,624,429,144,47,MSZP,0,0,0,0,1,1
Bácsalmás,Bács-Kiskun megye 5. számú egyéni választókerület,3175,1528,1598,1117,Kisváros,3000,1631,1089,241,DK,0,0,0,0,0,0
Bácsbokod,Bács-Kiskun megye 6. számú egyéni választókerület,1251,531,695,283,Falu,1160,642,355,133,MOMENTUM,0,0,0,0,0,0
Bácsborsód,Bács-Kiskun megye 6. számú egyéni választókerület,524,207,309,113,Falu,502,318,128,47,MOMENTUM,0,0,0,0,0,0
Bácsszentgyörgy,Bács-Kiskun megye 6. számú egyéni választókerület,97,25,70,11,Falu,85,57,19,9,MOMENTUM,0,0,0,0,0,0
Bácsszőlős,Bács-Kiskun megye 5. számú egyéni választókerület,164,86,77,65,Falu,138,93,17,24,DK,0,0,0,0,0,0
Badacsonytomaj,Veszprém megye 3. számú egyéni választókerület,1268,705,542,501,Falu,1239,566,592,0,JOBBIK,0,1,0,0,1,1
Badacsonytördemic,Veszprém megye 3. számú egyéni választókerület,539,264,254,224,Falu,496,276,202,0,JOBBIK,0,1,0,0,1,1
Bag,Pest megye 6. számú egyéni választókerület,2100,918,1129,483,Falu,2069,1193,630,117,LMP,0,0,0,0,0,0
Bagamér,Hajdú-Bihar megye 3. számú egyéni választókerület,1022,321,668,201,Falu,1039,722,235,43,JOBBIK,0,0,0,0,0,0
Baglad,Zala megye 1. számú egyéni választókerület,27,4,23,3,Falu,22,19,2,1,DK,0,0,0,0,1,1
Bagod,Zala megye 1. számú egyéni választókerület,717,255,447,151,Falu,692,467,158,38,DK,0,0,0,0,1,1
Bágyogszovát,Győr-Moson-Sopron megye 3. számú egyéni választókerület,776,224,547,149,Falu,792,604,122,54,MSZP,0,0,0,0,1,1
Baj,Komárom-Esztergom megye 1. számú egyéni választókerület,1614,746,799,333,Falu,1641,870,584,102,DK,0,0,1,1,0,0
Baja,Bács-Kiskun megye 6. számú egyéni választókerület,21797,11091,10470,3938,Középváros,20721,10587,8206,1287,MOMENTUM,0,0,0,0,0,0
Bajánsenye,Vas megye 3. számú egyéni választókerület,302,73,226,60,Falu,306,246,48,9,LMP,0,0,0,0,0,1
Bajna,Komárom-Esztergom megye 2. számú egyéni választókerület,1083,402,655,285,Falu,1056,677,292,49,JOBBIK,0,1,0,0,1,1
Bajót,Komárom-Esztergom megye 2. számú egyéni választókerület,754,303,420,227,Falu,764,479,195,48,JOBBIK,0,1,0,0,1,1
Bak,Zala megye 1. számú egyéni választókerület,953,378,550,184,Falu,920,572,232,64,DK,0,0,0,0,1,1
Bakháza,Somogy megye 2. számú egyéni választókerület,83,40,39,36,Falu,84,48,34,2,JOBBIK,0,1,0,0,1,1
Bakóca,Baranya megye 4. számú egyéni választókerület,106,24,75,9,Falu,106,91,11,1,DK,0,0,0,0,0,0
Bakonszeg,Hajdú-Bihar megye 4. számú egyéni választókerület,658,337,308,268,Falu,633,327,159,75,MOMENTUM,0,0,0,0,0,0
Bakonya,Baranya megye 4. számú egyéni választókerület,174,98,66,63,Falu,174,84,60,11,DK,0,0,0,0,0,0
Bakonybánk,Komárom-Esztergom megye 3. számú egyéni választókerület,222,79,143,52,Falu,200,116,56,20,MSZP,0,0,0,0,0,0
Bakonybél,Veszprém megye 4. számú egyéni választókerület,673,281,383,182,Falu,682,430,177,57,MSZP,0,0,0,0,0,0
Bakonycsernye,Fejér megye 2. számú egyéni választókerület,1738,670,1039,481,Falu,1754,1158,380,145,JOBBIK,0,1,0,0,1,1
Bakonygyirót,Győr-Moson-Sopron megye 2. számú egyéni választókerület,99,36,62,19,Falu,104,69,25,8,DK,0,0,0,0,0,0
Bakonyjákó,Veszprém megye 4. számú egyéni választókerület,406,165,237,108,Falu,399,232,122,27,MSZP,0,0,0,0,0,0
Bakonykoppány,Veszprém megye 4. számú egyéni választókerület,135,47,85,33,Falu,125,93,22,9,MSZP,0,0,0,0,0,0
Bakonykúti,Fejér megye 2. számú egyéni választókerület,89,53,35,25,Falu,95,37,46,6,JOBBIK,0,1,0,0,1,1
Bakonynána,Veszprém megye 1. számú egyéni választókerület,544,105,314,88,Falu,519,317,150,39,DK,0,0,0,0,0,0
Bakonyoszlop,Veszprém megye 4. számú egyéni választókerület,237,85,150,53,Falu,250,159,54,19,MSZP,0,0,0,0,0,0
Bakonypéterd,Győr-Moson-Sopron megye 2. számú egyéni választókerület,166,42,123,27,Falu,167,130,23,10,DK,0,0,0,0,0,0
Bakonypölöske,Veszprém megye 4. számú egyéni választókerület,198,70,124,25,Falu,203,125,61,12,MSZP,0,0,0,0,0,0
Bakonyság,Veszprém megye 4. számú egyéni választókerület,41,9,32,7,Falu,37,33,4,0,MSZP,0,0,0,0,0,0
Bakonysárkány,Komárom-Esztergom megye 3. számú egyéni választókerület,531,153,357,107,Falu,555,366,125,41,MSZP,0,0,0,0,0,0
Bakonyszentiván,Veszprém megye 4. számú egyéni választókerület,107,33,73,22,Falu,115,84,19,9,MSZP,0,0,0,0,0,0
Bakonyszentkirály,Veszprém megye 4. számú egyéni választókerület,434,194,233,138,Falu,443,286,93,46,MSZP,0,0,0,0,0,0
Bakonyszentlászló,Győr-Moson-Sopron megye 2. számú egyéni választókerület,898,334,555,221,Falu,899,575,208,101,DK,0,0,0,0,0,0
Bakonyszombathely,Komárom-Esztergom megye 3. számú egyéni választókerület,696,309,376,204,Falu,664,378,229,33,MSZP,0,0,0,0,0,0
Bakonyszücs,Veszprém megye 4. számú egyéni választókerület,187,37,149,30,Falu,176,147,19,8,MSZP,0,0,0,0,0,0
Bakonytamási,Veszprém megye 4. számú egyéni választókerület,325,101,222,79,Falu,334,227,77,19,MSZP,0,0,0,0,0,0
Baks,Csongrád megye 3. számú egyéni választókerület,877,448,402,387,Falu,840,510,256,53,JOBBIK,0,0,0,0,0,0
Baksa,Baranya megye 4. számú egyéni választókerület,401,225,156,104,Falu,406,246,117,22,DK,0,0,0,0,0,0
Baktakék,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,329,128,166,91,Falu,284,196,70,10,JOBBIK,0,0,0,0,0,0
Baktalórántháza,Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,2286,507,1764,387,Falu,2232,1718,376,111,JOBBIK,0,0,1,1,0,0
Baktüttös,Zala megye 2. számú egyéni választókerület,183,64,115,45,Falu,179,123,39,11,MOMENTUM,0,0,0,0,0,0
Balajt,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,177,72,95,36,Falu,177,142,20,6,JOBBIK,0,0,0,0,0,0
Balassagyarmat,Nógrád megye 2. számú egyéni választókerület,11112,6277,4559,3735,Kisváros,10115,4492,3722,1369,MOMENTUM,0,0,0,0,0,0
Balástya,Csongrád megye 3. számú egyéni választókerület,1664,606,1009,429,Falu,1710,1047,449,146,JOBBIK,0,0,0,0,0,0
Balaton,Heves megye 2. számú egyéni választókerület,539,255,274,179,Falu,491,301,136,39,JOBBIK,0,0,0,0,0,0
Balatonakali,Veszprém megye 2. számú egyéni választókerület,425,163,245,129,Falu,439,267,135,16,DK,0,0,0,0,0,0
Balatonakarattya,Veszprém megye 2. számú egyéni választókerület,531,233,286,156,Falu,582,305,200,45,DK,0,0,0,0,0,0
Balatonalmádi,Veszprém megye 2. számú egyéni választókerület,5497,2654,2762,2100,Kisváros,5828,2961,2148,362,DK,0,0,0,0,0,0
Balatonberény,Somogy megye 3. számú egyéni választókerület,631,339,284,273,Falu,635,303,291,35,JOBBIK,0,1,0,0,1,1
Balatonboglár,Somogy megye 3. számú egyéni választókerület,3325,1625,1639,1261,Kisváros,3195,1677,1317,167,JOBBIK,0,1,0,0,1,1
Balatoncsicsó,Veszprém megye 2. számú egyéni választókerület,126,48,76,38,Falu,131,83,33,5,DK,0,0,0,0,0,0
Balatonederics,Veszprém megye 3. számú egyéni választókerület,618,256,353,228,Falu,599,340,233,0,JOBBIK,0,1,0,0,1,1
Balatonendréd,Somogy megye 4. számú egyéni választókerület,732,265,455,108,Falu,715,498,189,0,JOBBIK,0,1,0,0,1,1
Balatonfenyves,Somogy megye 3. számú egyéni választókerület,1136,539,575,412,Falu,1122,630,417,64,JOBBIK,0,1,0,0,1,1
Balatonfőkajár,Veszprém megye 2. számú egyéni választókerület,698,220,466,178,Falu,706,450,180,43,DK,0,0,0,0,0,0
Balatonföldvár,Somogy megye 4. számú egyéni választókerület,1345,746,595,217,Falu,1415,716,636,0,JOBBIK,0,1,0,0,1,1
Balatonfüred,Veszprém megye 2. számú egyéni választókerület,10446,5390,4874,3837,Falu,2593,1269,994,182,DK,0,0,0,0,0,0
Balatonfűzfő,Veszprém megye 2. számú egyéni választókerület,2500,1272,1151,875,Kisváros,10269,4713,4345,616,DK,0,0,0,0,0,0
Balatongyörök,Zala megye 2. számú egyéni választókerület,666,299,357,203,Falu,692,348,267,49,MOMENTUM,0,0,0,0,0,0
Balatonhenye,Veszprém megye 2. számú egyéni választókerület,73,29,41,21,Falu,82,51,25,3,DK,0,0,0,0,0,0
Balatonkenese,Veszprém megye 2. számú egyéni választókerület,1466,630,796,487,Falu,1547,859,508,78,DK,0,0,0,0,0,0
Balatonkeresztúr,Somogy megye 3. számú egyéni választókerület,859,475,371,410,Falu,928,428,437,52,JOBBIK,0,1,0,0,1,1
Balatonlelle,Somogy megye 3. számú egyéni választókerület,2731,1286,1372,1006,Falu,2679,1502,982,161,JOBBIK,0,1,0,0,1,1
Balatonmagyaród,Zala megye 2. számú egyéni választókerület,222,99,118,73,Falu,196,128,44,19,MOMENTUM,0,0,0,0,0,0
Balatonmáriafürdő,Somogy megye 3. számú egyéni választókerület,361,195,163,151,Falu,420,203,180,30,JOBBIK,0,1,0,0,1,1
Balatonőszöd,Somogy megye 4. számú egyéni választókerület,289,119,166,43,Falu,307,204,85,0,JOBBIK,0,1,0,0,1,1
Balatonrendes,Veszprém megye 3. számú egyéni választókerület,88,43,43,38,Falu,99,46,48,0,JOBBIK,0,1,0,0,1,1
Balatonszabadi,Somogy megye 4. számú egyéni választókerület,1509,751,741,334,Falu,1610,982,559,0,JOBBIK,0,1,0,0,1,1
Balatonszárszó,Somogy megye 4. számú egyéni választókerület,1271,625,631,245,Falu,1283,715,519,0,JOBBIK,0,1,0,0,1,1
Balatonszemes,Somogy megye 4. számú egyéni választókerület,1000,447,537,163,Falu,1024,652,323,0,JOBBIK,0,1,0,0,1,1
Balatonszentgyörgy,Somogy megye 3. számú egyéni választókerület,921,461,441,364,Falu,872,467,354,43,JOBBIK,0,1,0,0,1,1
Balatonszepezd,Veszprém megye 2. számú egyéni választókerület,240,113,125,70,Falu,256,150,85,13,DK,0,0,0,0,0,0
Balatonszőlős,Veszprém megye 2. számú egyéni választókerület,375,201,166,177,Falu,386,160,154,60,DK,0,0,0,0,0,0
Balatonudvari,Veszprém megye 2. számú egyéni választókerület,205,84,115,59,Falu,223,122,74,14,DK,0,0,0,0,0,0
Balatonújlak,Somogy megye 3. számú egyéni választókerület,290,122,165,105,Falu,260,160,87,9,JOBBIK,0,1,0,0,1,1
Balatonvilágos,Somogy megye 4. számú egyéni választókerület,796,471,314,179,Falu,812,382,375,0,JOBBIK,0,1,0,0,1,1
Balinka,Fejér megye 2. számú egyéni választókerület,505,208,291,145,Falu,474,290,106,52,JOBBIK,0,1,0,0,1,1
Balkány,Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,2889,1256,1583,692,Kisváros,2754,1793,680,176,JOBBIK,0,0,0,0,0,0
Ballószög,Bács-Kiskun megye 2. számú egyéni választókerület,1922,791,1112,407,Falu,2164,1198,607,226,MOMENTUM,0,0,0,0,0,0
