ID,Választókerület,Nyertes,Nyertesre leadott szavazatok száma,Nyertesre leadott szavazatok aránya a választókerületben leadott összes szavazaton belül,Második hely,Másodikra leadott szavazatok száma,Másodikra leadott szavazatok aránya a választókerületben leadott összes szavazaton belül,info,Fideszre leadott szavazatok száma,Összesített ellenzéki szavazatok száma,Év,,,
2018_32,Hajdú-Bihar megye 6. számú egyéni választókerület,Dr. Tiba István Csaba (FIDESZ-KDNP),21843,48.91,Demeter Pál (JOBBIK),12227,27.38,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Dr. Tiba István Csaba (FIDESZ-KDNP)</td><td>21843 (48,91%)</td></tr><tr class='JOBBIK'><td>Demeter Pál (JOBBIK)</td><td>12227 (27,38%)</td></tr><tr class='MSZPPÁRBESZÉD'><td>Csige Tamás (MSZP-PÁRBESZÉD)</td><td>7914 (17,72%)</td></tr><tr class='LMP'><td>Tóth Tamás (LMP)</td><td>1333 (2,99%)</td></tr><tr class='MOMENTUM'><td>Kovács Roland (MOMENTUM)</td><td>483 (1,08%)</td></tr><tr class='MAGYARMUNKÁSPÁRT'><td>Dobány László (MAGYAR MUNKÁSPÁRT)</td><td>158 (0,35%)</td></tr><tr class='CSALÁDOKPÁRTJA'><td>Pintér Zsolt (CSALÁDOK PÁRTJA)</td><td>148 (0,33%)</td></tr><tr class='AHAZAPÁRTJA'><td>Daróczi Sándor (A HAZA PÁRTJA)</td><td>105 (0,24%)</td></tr><tr class='MAGYARORSZÁGICIGÁNYPÁRT'><td>Balogh Bettina (MAGYARORSZÁGI CIGÁNYPÁRT)</td><td>100 (0,22%)</td></tr><tr class='EURÓPAIROMAKERESZTÉNYEKJOBBLÉTÉÉRTDEMOKRATIKUSPÁRT'><td>Szitai István (EURÓPAI ROMA KERESZTÉNYEK JOBBLÉTÉÉRT DEMOKRATIKUS PÁRT)</td><td>77 (0,17%)</td></tr><tr class='SZEGÉNYEMBEREKMAGYARORSZÁGÉRTPÁRT'><td>Andorkó László (SZEGÉNY EMBEREK MAGYARORSZÁGÉRT PÁRT)</td><td>62 (0,14%)</td></tr><tr class='MAGYARIGAZSÁGÉSÉLETPÁRTJA'><td>Kiss Ferencné (MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA)</td><td>55 (0,12%)</td></tr><tr class='TENNIAKARÁSMOZGALOM'><td>Papp Csilla (TENNI AKARÁS MOZGALOM)</td><td>48 (0,11%)</td></tr><tr class='IRÁNYTŰPÁRT'><td>Kiss Szabolcs (IRÁNYTŰ PÁRT)</td><td>25 (0,06%)</td></tr><tr class='MINDENSZEGÉNYÉRTPÁRT'><td>Vadas Erika (MINDEN SZEGÉNYÉRT PÁRT)</td><td>23 (0,05%)</td></tr><tr class='KELLAZÖSSZEFOGÁSPÁRT'><td>Mezei Alex (KELL AZ ÖSSZEFOGÁS PÁRT)</td><td>22 (0,05%)</td></tr><tr class='ORIGÓPÁRT'><td>Támcsu Erzsébet (ORIGÓ PÁRT)</td><td>21 (0,05%)</td></tr><tr class='ÖSSZEFOGÁSPÁRT'><td>Apáti József (ÖSSZEFOGÁS PÁRT)</td><td>12 (0,03%)</td></tr></table>",21843,21957,2018,,,
2018_33,Heves megye 1. számú egyéni választókerület,Dr. Nyitrai Zsolt Péter (FIDESZ-KDNP),27374,46.44,Mirkóczki Ádám (JOBBIK),23115,39.22,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Dr. Nyitrai Zsolt Péter (FIDESZ-KDNP)</td><td>27374 (46,44%)</td></tr><tr class='JOBBIK'><td>Mirkóczki Ádám (JOBBIK)</td><td>23115 (39,22%)</td></tr><tr class='DK'><td>Kertészné Kormos Noémi Edit (DK)</td><td>3987 (6,76%)</td></tr><tr class='LMP'><td>Komlósi Csaba (LMP)</td><td>1914 (3,25%)</td></tr><tr class='Függetlenjelölt'><td>Dr. Csorba László (Független jelölt)</td><td>676 (1,15%)</td></tr><tr class='MKKP'><td>Várady Zoltán (MKKP)</td><td>664 (1,13%)</td></tr><tr class='Függetlenjelölt'><td>Vámos Csaba István (Független jelölt)</td><td>609 (1,03%)</td></tr><tr class='CSALÁDOKPÁRTJA'><td>Molnár István (CSALÁDOK PÁRTJA)</td><td>192 (0,33%)</td></tr><tr class='MAGYARIGAZSÁGÉSÉLETPÁRTJA'><td>Varga Anikó Csilla (MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA)</td><td>87 (0,15%)</td></tr><tr class='SPORTOSÉSEGÉSZSÉGESMAGYARORSZÁGÉRTPÁRT'><td>Komora Viktória (SPORTOS ÉS EGÉSZSÉGES MAGYARORSZÁGÉRT PÁRT)</td><td>86 (0,15%)</td></tr><tr class='KÖZÖSNEVEZŐ2018'><td>Biró Katalin (KÖZÖS NEVEZŐ 2018)</td><td>48 (0,08%)</td></tr><tr class='HAJRÁMAGYARORSZÁG!PÁRT'><td>Lajtos Boglárka (HAJRÁ MAGYARORSZÁG! PÁRT)</td><td>39 (0,07%)</td></tr><tr class='EURÓPAIROMAKERESZTÉNYEKJOBBLÉTÉÉRTDEMOKRATIKUSPÁRT'><td>Malacsik Dénes (EURÓPAI ROMA KERESZTÉNYEK JOBBLÉTÉÉRT DEMOKRATIKUS PÁRT)</td><td>37 (0,06%)</td></tr><tr class='IRÁNYTŰPÁRT'><td>Dr. Kovács Krisztián (IRÁNYTŰ PÁRT)</td><td>36 (0,06%)</td></tr><tr class='DEMOKRATAPÁRT'><td>Bátori Tamás (DEMOKRATA PÁRT)</td><td>35 (0,06%)</td></tr><tr class='RENDÉSELSZÁMOLTATÁSPÁRT'><td>Ragályi Jánosné (REND ÉS ELSZÁMOLTATÁS PÁRT)</td><td>19 (0,03%)</td></tr><tr class='ÖSSZEFOGÁSPÁRT'><td>Déri Jolán Erzsébet (ÖSSZEFOGÁS PÁRT)</td><td>14 (0,02%)</td></tr><tr class='HAZAMINDENKIÉPÁRT'><td>Berecz Anett (HAZA MINDENKIÉ PÁRT)</td><td>12 (0,02%)</td></tr></table>",27374,29016,2018,,,
2018_34,Heves megye 2. számú egyéni választókerület,Horváth László Dezső (FIDESZ-KDNP),25729,46.15,Vona Gábor (JOBBIK),23379,41.94,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Horváth László Dezső (FIDESZ-KDNP)</td><td>25729 (46,15%)</td></tr><tr class='JOBBIK'><td>Vona Gábor (JOBBIK)</td><td>23379 (41,94%)</td></tr><tr class='MSZPPÁRBESZÉD'><td>Orosz Bálint János (MSZP-PÁRBESZÉD)</td><td>4632 (8,31%)</td></tr><tr class='LMP'><td>Reichenberger János Gyula (LMP)</td><td>1260 (2,26%)</td></tr><tr class='EGYÜTT'><td>Réz Ágnes (EGYÜTT)</td><td>191 (0,34%)</td></tr><tr class='CSALÁDOKPÁRTJA'><td>Pocsai István Zoltán (CSALÁDOK PÁRTJA)</td><td>122 (0,22%)</td></tr><tr class='SPORTOSÉSEGÉSZSÉGESMAGYARORSZÁGÉRTPÁRT'><td>Búzás Mónika Anna (SPORTOS ÉS EGÉSZSÉGES MAGYARORSZÁGÉRT PÁRT)</td><td>106 (0,19%)</td></tr><tr class='EURÓPAIROMAKERESZTÉNYEKJOBBLÉTÉÉRTDEMOKRATIKUSPÁRT'><td>Szőcsi Lajos (EURÓPAI ROMA KERESZTÉNYEK JOBBLÉTÉÉRT DEMOKRATIKUS PÁRT)</td><td>65 (0,12%)</td></tr><tr><td>Nagy Gábor Elemér ()</td><td>57 (0,1%)</td></tr><tr class='ÖSSZEFOGÁSPÁRT'><td>Birtalan József (ÖSSZEFOGÁS PÁRT)</td><td>44 (0,08%)</td></tr><tr class='RENDÉSELSZÁMOLTATÁSPÁRT'><td>Hegedűs Dávid (REND ÉS ELSZÁMOLTATÁS PÁRT)</td><td>43 (0,08%)</td></tr><tr class='MAGYARORSZÁGONÉLŐDOLGOZÓÉSTANULÓEMBEREKPÁRTJA'><td>Gazsi Henrietta (MAGYARORSZÁGON ÉLŐ DOLGOZÓ ÉS TANULÓ EMBEREK PÁRTJA)</td><td>38 (0,07%)</td></tr><tr class='AHAZAPÁRTJA'><td>Töviskesné Dsupin Judit Ibolya (A HAZA PÁRTJA)</td><td>35 (0,06%)</td></tr><tr class='IRÁNYTŰPÁRT'><td>Zvara Zsolt (IRÁNYTŰ PÁRT)</td><td>27 (0,05%)</td></tr><tr class='ELÉGEDETTMAGYARORSZÁGÉRTMOZGALOM'><td>Suha Béláné (ELÉGEDETT MAGYARORSZÁGÉRT MOZGALOM)</td><td>19 (0,03%)</td></tr></table>",25729,29462,2018,,,
2018_35,Jász-Nagykun-Szolnok megye 1. számú egyéni választókerület,Dr. Kállai Mária (FIDESZ-KDNP),23665,42.09,Dr. Csikós Attila Ákos (JOBBIK),19746,35.12,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Dr. Kállai Mária (FIDESZ-KDNP)</td><td>23665 (42,09%)</td></tr><tr class='JOBBIK'><td>Dr. Csikós Attila Ákos (JOBBIK)</td><td>19746 (35,12%)</td></tr><tr class='MSZPPÁRBESZÉD'><td>Györfi Mihály (MSZP-PÁRBESZÉD)</td><td>8520 (15,15%)</td></tr><tr class='LMP'><td>Dr. Kelemen István (LMP)</td><td>2028 (3,61%)</td></tr><tr class='MOMENTUM'><td>Szekeres Éva (MOMENTUM)</td><td>863 (1,53%)</td></tr><tr class='MAGYARMUNKÁSPÁRT'><td>Bencsik Mihály (MAGYAR MUNKÁSPÁRT)</td><td>427 (0,76%)</td></tr><tr class='CSALÁDOKPÁRTJA'><td>Pásztor László (CSALÁDOK PÁRTJA)</td><td>223 (0,4%)</td></tr><tr class='MAGYARIGAZSÁGÉSÉLETPÁRTJA'><td>Szép Tivadar (MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA)</td><td>164 (0,29%)</td></tr><tr class='SPORTOSÉSEGÉSZSÉGESMAGYARORSZÁGÉRTPÁRT'><td>Dr. Balog Gábor Miklós (SPORTOS ÉS EGÉSZSÉGES MAGYARORSZÁGÉRT PÁRT)</td><td>154 (0,27%)</td></tr><tr class='MAGYARORSZÁGÉRTDEMOKRATIKUSPÁRT'><td>Vallyon Roland (MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT)</td><td>133 (0,24%)</td></tr><tr class='ÉRTÜNKÉRTETEKAHITELESPÁRT'><td>Győre István (ÉRTÜNK ÉRTETEK - A HITELES PÁRT)</td><td>63 (0,11%)</td></tr><tr class='NETPÁRT'><td>Szabó Éva (NET PÁRT)</td><td>47 (0,08%)</td></tr><tr class='MAGYARORSZÁGICIGÁNYPÁRT'><td>Farkas István (MAGYARORSZÁGI CIGÁNYPÁRT)</td><td>41 (0,07%)</td></tr><tr class='KELLAZÖSSZEFOGÁSPÁRT'><td>Káposztás Zsuzsanna (KELL AZ ÖSSZEFOGÁS PÁRT)</td><td>40 (0,07%)</td></tr><tr class='MAGYARORSZÁGONÉLŐDOLGOZÓÉSTANULÓEMBEREKPÁRTJA'><td>Mester Erzsébet (MAGYARORSZÁGON ÉLŐ DOLGOZÓ ÉS TANULÓ EMBEREK PÁRTJA)</td><td>39 (0,07%)</td></tr><tr class='IRÁNYTŰPÁRT'><td>Pálfi Dávid (IRÁNYTŰ PÁRT)</td><td>26 (0,05%)</td></tr><tr class='AQUILAPÁRT'><td>Varga Péter Miklósné (AQUILA PÁRT)</td><td>18 (0,03%)</td></tr><tr class='ÖSSZEFOGÁSPÁRT'><td>Veress Erzsébet Csilla (ÖSSZEFOGÁS PÁRT)</td><td>18 (0,03%)</td></tr><tr class='JÓÚTMAGYARPOLGÁRIPÁRT'><td>Farkas Olivér (JÓ ÚT MAGYAR POLGÁRI PÁRT)</td><td>12 (0,02%)</td></tr></table>",23665,31157,2018,,,
2018_36,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Boldog István (FIDESZ-KDNP),21668,44.71,Csányi Tamás (JOBBIK),19760,40.78,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Boldog István (FIDESZ-KDNP)</td><td>21668 (44,71%)</td></tr><tr class='JOBBIK'><td>Csányi Tamás (JOBBIK)</td><td>19760 (40,78%)</td></tr><tr class='MSZPPÁRBESZÉD'><td>Rózsa Endre (MSZP-PÁRBESZÉD)</td><td>4668 (9,63%)</td></tr><tr class='LMP'><td>Ecseki Virág Boglárka (LMP)</td><td>1119 (2,31%)</td></tr><tr class='MOMENTUM'><td>Matisz Károly István (MOMENTUM)</td><td>350 (0,72%)</td></tr><tr class='MAGYARMUNKÁSPÁRT'><td>Szilágyi András (MAGYAR MUNKÁSPÁRT)</td><td>270 (0,56%)</td></tr><tr class='CSALÁDOKPÁRTJA'><td>Pusztai Róbert (CSALÁDOK PÁRTJA)</td><td>207 (0,43%)</td></tr><tr class='MAGYARIGAZSÁGÉSÉLETPÁRTJA'><td>Pabar Gyula (MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA)</td><td>84 (0,17%)</td></tr><tr class='MAGYARORSZÁGÉRTDEMOKRATIKUSPÁRT'><td>Lakatos Edit (MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT)</td><td>81 (0,17%)</td></tr><tr class='KÖZÖSNEVEZŐ2018'><td>Kerezsi Virág Ágnes (KÖZÖS NEVEZŐ 2018)</td><td>58 (0,12%)</td></tr><tr class='AHAZAPÁRTJA'><td>Kiss Éva (A HAZA PÁRTJA)</td><td>55 (0,11%)</td></tr><tr class='MAGYARORSZÁGICIGÁNYPÁRT'><td>Dani Ferenc (MAGYARORSZÁGI CIGÁNYPÁRT)</td><td>42 (0,09%)</td></tr><tr class='MAGYARORSZÁGONÉLŐDOLGOZÓÉSTANULÓEMBEREKPÁRTJA'><td>Kántor Attila (MAGYARORSZÁGON ÉLŐ DOLGOZÓ ÉS TANULÓ EMBEREK PÁRTJA)</td><td>34 (0,07%)</td></tr><tr class='NETPÁRT'><td>Kádár Miklós István (NET PÁRT)</td><td>24 (0,05%)</td></tr><tr class='IRÁNYTŰPÁRT'><td>Tánczos Krisztián (IRÁNYTŰ PÁRT)</td><td>21 (0,04%)</td></tr><tr class='ÖSSZEFOGÁSPÁRT'><td>Buzgán András (ÖSSZEFOGÁS PÁRT)</td><td>18 (0,04%)</td></tr></table>",21668,25897,2018,,,
2018_37,Komárom-Esztergom megye 1. számú egyéni választókerület,Bencsik János (FIDESZ-KDNP),25128,44.43,Fekete Miklós (MSZP-P),15192,26.86,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Bencsik János (FIDESZ-KDNP)</td><td>25128 (44,43%)</td></tr><tr class='MSZPPÁRBESZÉD'><td>Fekete Miklós (MSZP-PÁRBESZÉD)</td><td>15192 (26,86%)</td></tr><tr class='JOBBIK'><td>Boda Bánk László (JOBBIK)</td><td>11071 (19,58%)</td></tr><tr class='LMP'><td>Körtvélyfáy Menyhért Béla (LMP)</td><td>2440 (4,31%)</td></tr><tr class='MKKP'><td>Barna Alexandra Cintia (MKKP)</td><td>985 (1,74%)</td></tr><tr class='MOMENTUM'><td>Novák László (MOMENTUM)</td><td>785 (1,39%)</td></tr><tr class='Függetlenjelölt'><td>Dr. Jakics Mónika Zsuzsanna (Független jelölt)</td><td>449 (0,79%)</td></tr><tr class='MAGYARMUNKÁSPÁRT'><td>Szücs István (MAGYAR MUNKÁSPÁRT)</td><td>159 (0,28%)</td></tr><tr class='MAGYARIGAZSÁGÉSÉLETPÁRTJA'><td>Szalay László Gábor (MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA)</td><td>141 (0,25%)</td></tr><tr class='IRÁNYTŰPÁRT'><td>Estók Endre (IRÁNYTŰ PÁRT)</td><td>88 (0,16%)</td></tr><tr class='SZEGÉNYEKÉRTPÁRT'><td>Fülöp Péter Ferenc (SZEGÉNYEKÉRT PÁRT)</td><td>82 (0,15%)</td></tr><tr class='NEMZETIEGYÜTTMŰKÖDÉSÉSMEGBÉKÉLÉSPÁRT'><td>Czinege Balázs (NEMZETI EGYÜTTMŰKÖDÉS ÉS MEGBÉKÉLÉS PÁRT)</td><td>31 (0,05%)</td></tr></table>",25128,29488,2018,,,
2018_38,Komárom-Esztergom megye 2. számú egyéni választókerület,Dr. Völner Pál (FIDESZ-KDNP),26137,45.21,Nunkovics Tibor (JOBBIK),19834,34.31,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Dr. Völner Pál (FIDESZ-KDNP)</td><td>26137 (45,21%)</td></tr><tr class='JOBBIK'><td>Nunkovics Tibor (JOBBIK)</td><td>19834 (34,31%)</td></tr><tr class='DK'><td>Dr. Vadai Ágnes (DK)</td><td>6474 (11,2%)</td></tr><tr class='LMP'><td>Dr. Munkácsy Béla Attila (LMP)</td><td>2657 (4,6%)</td></tr><tr class='MKKP'><td>Papp László (MKKP)</td><td>958 (1,66%)</td></tr><tr class='Függetlenjelölt'><td>Cserép János (Független jelölt)</td><td>861 (1,49%)</td></tr><tr class='MAGYARMUNKÁSPÁRT'><td>Nagy István (MAGYAR MUNKÁSPÁRT)</td><td>270 (0,47%)</td></tr><tr class='CSALÁDOKPÁRTJA'><td>Krisztián Roland Ferenc (CSALÁDOK PÁRTJA)</td><td>240 (0,42%)</td></tr><tr class='MAGYARIGAZSÁGÉSÉLETPÁRTJA'><td>Szabó Ottó Ferenc (MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA)</td><td>134 (0,23%)</td></tr><tr class='SPORTOSÉSEGÉSZSÉGESMAGYARORSZÁGÉRTPÁRT'><td>Hammerszky Sándor (SPORTOS ÉS EGÉSZSÉGES MAGYARORSZÁGÉRT PÁRT)</td><td>88 (0,15%)</td></tr><tr class='ÖSSZEFOGÁSPÁRT'><td>Pogány István (ÖSSZEFOGÁS PÁRT)</td><td>82 (0,14%)</td></tr><tr><td>Ambrus Bernadett Annamária ()</td><td>54 (0,09%)</td></tr><tr class='IRÁNYTŰPÁRT'><td>Horváth Zoltán Péter (IRÁNYTŰ PÁRT)</td><td>24 (0,04%)</td></tr></table>",26137,28965,2018,,,
2018_39,Nógrád megye 1. számú egyéni választókerület,Dr. Becsó Károly Csaba (FIDESZ-KDNP),24611,47.34,Cseresznyés István (JOBBIK),11553,22.22,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Dr. Becsó Károly Csaba (FIDESZ-KDNP)</td><td>24611 (47,34%)</td></tr><tr class='JOBBIK'><td>Cseresznyés István (JOBBIK)</td><td>11553 (22,22%)</td></tr><tr class='LMP'><td>Dömsödi Gábor (LMP)</td><td>8478 (16,31%)</td></tr><tr class='DK'><td>Kovács Zsolt Béla (DK)</td><td>4636 (8,92%)</td></tr><tr class='MKKP'><td>Betes Mona (MKKP)</td><td>445 (0,86%)</td></tr><tr class='MAGYARMUNKÁSPÁRT'><td>Nagy Attila Tibor (MAGYAR MUNKÁSPÁRT)</td><td>421 (0,81%)</td></tr><tr class='Függetlenjelölt'><td>Dr. Turza Csaba József (Független jelölt)</td><td>383 (0,74%)</td></tr><tr class='MOMENTUM'><td>Tóth Csaba (MOMENTUM)</td><td>320 (0,62%)</td></tr><tr class='EGYÜTT'><td>Nógrádi Nóra Sarolta (EGYÜTT)</td><td>221 (0,43%)</td></tr><tr class='MAGYARORSZÁGICIGÁNYPÁRT'><td>Klajbán Róbert János (MAGYARORSZÁGI CIGÁNYPÁRT)</td><td>118 (0,23%)</td></tr><tr class='TENNIAKARÓKMAGYARORSZÁGIPÁRTJA'><td>Kubinyi Péter (TENNI AKARÓK MAGYARORSZÁGI PÁRTJA)</td><td>77 (0,15%)</td></tr><tr class='MAGYARDEMOKRATIKUSUNIÓ'><td>Sárközi Lajos (MAGYAR DEMOKRATIKUS UNIÓ)</td><td>74 (0,14%)</td></tr><tr class='CSALÁDOKPÁRTJA'><td>Molnár Dávid Márk (CSALÁDOK PÁRTJA)</td><td>67 (0,13%)</td></tr><tr class='SZEGÉNYEKÉRTPÁRT'><td>Farkas Csaba (SZEGÉNYEKÉRT PÁRT)</td><td>61 (0,12%)</td></tr><tr class='NEMZETIZÖLDKOALÍCIÓ'><td>Záhonyi József (NEMZETI ZÖLD KOALÍCIÓ)</td><td>53 (0,1%)</td></tr><tr class='KÖZÖSNEVEZŐ2018'><td>Hegedűsné Széll Krisztina (KÖZÖS NEVEZŐ 2018)</td><td>48 (0,09%)</td></tr><tr class='Függetlenjelölt'><td>Gazsi Csaba (Független jelölt)</td><td>42 (0,08%)</td></tr><tr class='MAGYARIGAZSÁGÉSÉLETPÁRTJA'><td>Drapcsik Tamás (MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA)</td><td>42 (0,08%)</td></tr><tr class='OPREROMACIGÁNYDEMOKRATANÉPPÁRT'><td>Veres Attiláné (OPRE ROMA - CIGÁNY DEMOKRATA NÉPPÁRT)</td><td>41 (0,08%)</td></tr><tr class='EURÓPAIROMAKERESZTÉNYEKJOBBLÉTÉÉRTDEMOKRATIKUSPÁRT'><td>Danyi Flórián (EURÓPAI ROMA KERESZTÉNYEK JOBBLÉTÉÉRT DEMOKRATIKUS PÁRT)</td><td>40 (0,08%)</td></tr><tr class='Függetlenjelölt'><td>Radics Gyuláné (Független jelölt)</td><td>40 (0,08%)</td></tr><tr class='CIVILMOZGALOM'><td>Bercsényi Zoltán (CIVIL MOZGALOM)</td><td>35 (0,07%)</td></tr><tr class='ELÉGEDETTMAGYARORSZÁGÉRTMOZGALOM'><td>Illés István (ELÉGEDETT MAGYARORSZÁGÉRT MOZGALOM)</td><td>35 (0,07%)</td></tr><tr class='RENDÉSELSZÁMOLTATÁSPÁRT'><td>Tóthné Katona Anetta (REND ÉS ELSZÁMOLTATÁS PÁRT)</td><td>33 (0,06%)</td></tr><tr class='ÖSSZEFOGÁSPÁRT'><td>Czekó Erzsébet (ÖSSZEFOGÁS PÁRT)</td><td>27 (0,05%)</td></tr><tr class='MAGYARORSZÁGONÉLŐDOLGOZÓÉSTANULÓEMBEREKPÁRTJA'><td>Nagy Péter (MAGYARORSZÁGON ÉLŐ DOLGOZÓ ÉS TANULÓ EMBEREK PÁRTJA)</td><td>20 (0,04%)</td></tr><tr class='ELÉGEDETLENEKPÁRTJA'><td>Buri Brigitta (ELÉGEDETLENEK PÁRTJA)</td><td>19 (0,04%)</td></tr><tr class='HÁTRÁNYOSHELYZETŰEKPÁRTJA'><td>Pozsgai Dávid (HÁTRÁNYOS HELYZETŰEK PÁRTJA)</td><td>16 (0,03%)</td></tr><tr class='TENNIAKARÁSMOZGALOM'><td>Puporka Lajos (TENNI AKARÁS MOZGALOM)</td><td>14 (0,03%)</td></tr><tr class='HAZAMINDENKIÉPÁRT'><td>Ladik Szabolcs Viktor (HAZA MINDENKIÉ PÁRT)</td><td>10 (0,02%)</td></tr><tr class='ÉRTÜNKÉRTETEKAHITELESPÁRT'><td>Bereczné Adorján Alexandra (ÉRTÜNK ÉRTETEK - A HITELES PÁRT)</td><td>8 (0,02%)</td></tr><tr class='EGYENLŐSÉGROMAPÁRT'><td>Fényes Józsefné (EGYENLŐSÉG ROMA PÁRT)</td><td>3 (0,01%)</td></tr></table>",24611,25208,2018,,,
2018_40,Pest megye 1. számú egyéni választókerület,Dr. Aradszki András (FIDESZ-KDNP),26987,43.74,Dr. Csőzik László (MSZP-P),21888,35.47,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Dr. Aradszki András (FIDESZ-KDNP)</td><td>26987 (43,74%)</td></tr><tr class='MSZPPÁRBESZÉD'><td>Dr. Csőzik László (MSZP-PÁRBESZÉD)</td><td>21888 (35,47%)</td></tr><tr class='JOBBIK'><td>Vágó Sebestyén (JOBBIK)</td><td>8014 (12,99%)</td></tr><tr class='LMP'><td>Turcsán Szabolcs (LMP)</td><td>2264 (3,67%)</td></tr><tr class='MKKP'><td>Szécsi Barbara (MKKP)</td><td>1146 (1,86%)</td></tr><tr class='MOMENTUM'><td>Gál Alex (MOMENTUM)</td><td>1035 (1,68%)</td></tr><tr class='MAGYARIGAZSÁGÉSÉLETPÁRTJA'><td>Szunai Gábor Miklós (MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA)</td><td>146 (0,24%)</td></tr><tr class='KELLAZÖSSZEFOGÁSPÁRT'><td>Weith Katalin (KELL AZ ÖSSZEFOGÁS PÁRT)</td><td>123 (0,2%)</td></tr><tr class='TENNIAKARÁSMOZGALOM'><td>Kozák István Krisztián (TENNI AKARÁS MOZGALOM)</td><td>70 (0,11%)</td></tr><tr class='AQUILAPÁRT'><td>Marton Janka (AQUILA PÁRT)</td><td>29 (0,05%)</td></tr></table>",26987,33201,2018,,,
2018_41,Pest megye 2. számú egyéni választókerület,Csenger-Zalán Zsolt (FIDESZ-KDNP),30990,44.14,Dr. Szél Bernadett (LMP),30694,43.72,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Csenger-Zalán Zsolt (FIDESZ-KDNP)</td><td>30990 (44,14%)</td></tr><tr class='LMP'><td>Dr. Szél Bernadett (LMP)</td><td>30694 (43,72%)</td></tr><tr class='JOBBIK'><td>Császárné Kollár Tímea Annamária (JOBBIK)</td><td>5923 (8,44%)</td></tr><tr class='MKKP'><td>Betlehem Csaba (MKKP)</td><td>1544 (2,2%)</td></tr><tr class='DEMOKRATAPÁRT'><td>Kósa Sándor (DEMOKRATA PÁRT)</td><td>602 (0,86%)</td></tr><tr class='MAGYARMUNKÁSPÁRT'><td>Gelencsér András (MAGYAR MUNKÁSPÁRT)</td><td>337 (0,48%)</td></tr><tr class='MAGYARORSZÁGICIGÁNYPÁRT'><td>Anyalai Béla (MAGYARORSZÁGI CIGÁNYPÁRT)</td><td>121 (0,17%)</td></tr></table>",30990,36617,2018,,,
